,ticker,name,sector,industry,date_added,date_removed,reason_removed,is_in_index
75,BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,,,True
76,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1957-03-04,,,True
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014-05-08,,,True
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,2018-06-18,,,True
79,BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,,,True
80,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,,,True
81,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,,,True
82,CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18,,,True
83,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021-03-22,,,True
84,CPT,Camden Property Trust,Real Estate,Residential REITs,2022-04-04,,,True
85,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,1957-03-04,,,True
86,COF,Capital One,Financials,Consumer Finance,1998-07-01,,,True
87,CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,,,True
88,KMX,CarMax,Consumer Discretionary,Automotive Retail,2010-06-28,,,True
89,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,,,True
90,CARR,Carrier Global,Industrials,Building Products,2020-04-03,,,True
91,CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21,,,True
92,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1957-03-04,,,True
93,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01,,,True
94,CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10,,,True
95,CDW,CDW,Information Technology,Technology Distributors,2019-09-23,,,True
96,CE,Celanese,Materials,Specialty Chemicals,2018-12-24,,,True
97,CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30,,,True
98,CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,,,True
99,CDAY,Ceridian,Information Technology,Application Software,2021-09-20,,,True
100,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,,,True
101,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021-05-14,,,True
102,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02,,,True
103,CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,,,True
104,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957-03-04,,,True
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,,,True
106,CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15,,,True
107,CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,,,True
108,CI,Cigna,Health Care,Managed Health Care,1976-06-30,,,True
109,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18,,,True
110,CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01,,,True
111,CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01,,,True
112,C,Citigroup,Financials,Diversified Banks,1988-05-31,,,True
113,CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29,,,True
114,CLX,Clorox,Consumer Staples,Household Products,1969-03-31,,,True
115,CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11,,,True
116,CMS,CMS Energy,Utilities,Multi-Utilities,1957-03-04,,,True
117,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,1957-03-04,,,True
118,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17,,,True
119,CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,,,True
120,CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,,,True
121,CMA,Comerica,Financials,Diversified Banks,1995-12-01,,,True
122,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31,,,True
123,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,,,True
124,ED,Consolidated Edison,Utilities,Electric Utilities,1957-03-04,,,True
125,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,,,True
126,CEG,Constellation Energy,Utilities,Multi-Utilities,2022-02-02,,,True
127,COO,CooperCompanies,Health Care,Health Care Supplies,2016-09-23,,,True
128,CPRT,Copart,Industrials,Diversified Support Services,2018-07-02,,,True
129,GLW,Corning Inc.,Information Technology,Electronic Components,1995-02-27,,,True
130,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,,,True
131,CSGP,CoStar Group,Industrials,Research & Consulting Services,2022-09-19,,,True
132,COST,Costco,Consumer Staples,Hypermarkets & Super Centers,1993-10-01,,,True
133,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008-06-23,,,True
134,CCI,Crown Castle,Real Estate,Specialized REITs,2012-03-14,,,True
135,CSX,CSX,Industrials,Railroads,1957-03-04,,,True
136,CMI,Cummins,Industrials,Industrial Machinery,1965-03-31,,,True
137,CVS,CVS Health,Health Care,Health Care Services,1957-03-04,,,True
138,DHI,D.R. Horton,Consumer Discretionary,Homebuilding,2005-06-22,,,True
139,DHR,Danaher Corporation,Health Care,Health Care Equipment,1998-11-18,,,True
140,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1995-05-31,,,True
141,DVA,DaVita Inc.,Health Care,Health Care Facilities,2008-07-31,,,True
142,DE,John Deere,Industrials,Agricultural & Farm Machinery,1957-03-04,,,True
143,DAL,Delta Air Lines,Industrials,Airlines,2013-09-11,,,True
144,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14,,,True
145,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30,,,True
146,DXCM,Dexcom,Health Care,Health Care Equipment,2020-05-12,,,True
